id,question,context,context_answer,param_answer
exttruth_kzh2757kzh#60263_2_1_1,Шыңғыс хан әскеріне қатты қарсылық көрсеткен Орта Азияның қай қалалардың бірі болған?,"Қайыр хан, Ғайыр хан Иналшық (т. ж. б. – 1220, Сығанақ--) – Сығанақ- қаласының билеушісі. Хорезмшаһтарға қызмет еткен, қыпшақ тайпасынан шыққан. Шыңғыс ханның Қытайға жасаған сәтті жорықтарынан кейін Хорезм шаһы Мұхаммед Қарақорымға жедел түрде екі елшілік аттандырды. Ол елшіліктерді қабылдаған Шыңғыс хан да өз тарапынан Хорезмге елшілік аттандырды. Екі жақты келісімдерден кейін көп ұзамай 500 түйеден тұратын, құрамында 450 адам бар сауда керуені 1218 жылы Қарақорымнан Отырар- қаласына келіп жетті. Саудагерлер арасында Шыңғыс ханның тыңшылары бар деп есептеген Қайырхан керуенді тонап, адамдарын қырып тастады. Шыңғыс хан Қайырханды ұстап беруді талап етті, бірақ Хорезмшаһ бұл талапты орындамай, келген елшілерді өлтірді. Нәтижесінде екі ел арасында соғыс басталып, 1219 ж. қыркүйекте Шыңғыс хан әскері Ертістен Жетісу арқылы Сырдарияға келіп жетті. Сығанақ-ға таяғанда Шыңғыс хан қаланы қоршауға ұлдары Шағатай мен Үгедей басқарған әскерлерді қалдырып, өзі Бұхараға аттанды. Қайырхан бар күшін салып қорғанды. Қорғаныстың 5-айы бітуге таянғанда хорезмдік әскербасы Қараша-Хаджиб 10 мыңдық қолымен беріліп, моңғолдарды қалаға кіргізіп жіберді. Соғыс қаланың ішінде жүрді. Қайырхан сенімді әскерлерімен қамалға берік бекініп, тағы бір ай соғысты.",Отырар-,Сығанақ
exttruth_kzh0749kzh#23802_1_1,Қозылардың жүнін қырқатын мезгілдің атауы қандай?,"Қой қырқу, биязы және биязылау жүнді қойлар жылына бір рет көктемде, ал ұяң не қылшық жүнді қойлар екі рет Күзде-- және күзде (күзем) қырқылады. 
Қойды қырқар алдында 12 – 14 Сағат бойы азықтандырмайды. Жалпы, қой қырқуды 10 – 12 күннің ішінде, шыбын-шіркей шықпай тұрып аяқтайды. Биязы және биязылау жүнді қойдың ерте көктемде туған қозылары, әдетте, келесі көктемде қырқылады. Биязы жүнді қой қозыларының жүнінің ұзындығы 3 сантиметр, биязылау жүнді қозылардың жүні ең кемі 3,5 сантиметрге жеткенде қырқуға болады. Қой қырқуға электр агрегаттары қолданылады.",көктемде (жабағы)-,Күзде
exttruth_2758485472036614220#54289_1_1,Бағдаршамның алғашқы қол сигналы қашан ойлап табылды?,"БАҒДАРШАМ — жарықпен белгі беру арқылы көшедегі, автомобиль жолы мен темір жолдағы қозғалысты реттеуге арналған құрылғы. Ол белгі беру тәсілдеріне қарай: түрлі түсті Бағдаршам (жарығы жасыл, сары және қызыл түсті, ал темір жолда бұларға қосымша көгілдір және ақ жарық), позициялық Бағдаршам (бір түсті жарық) және құрама Бағдаршам болып ажыратылады. Алғашқы Бағдаршам типтес құрылғы 1870 жылы Лондон көшелерінде, үш түсті электрлік Бағдаршам 1918 жылы Нью-Йоркте, 1930 жылы Мәскеуде орнатылған. Темір жолында 20 ғасырдың басынан бастап қолданылды. Бағдаршам белгі санына қарай 1 — 5 секциялы болады. Бағдаршам іске автоматты түрде не қолмен қосылады.",1869 жылы,1870 жылы
exttruth_3678867538093131129#30481_1_1,Na келесі химиялық элементтердің қайсысының символы болып табылады?,"Мыc  -  (лат. ""Natrіum""; Na) — элементтердің периодтық жүйесінің І тобындағы химиялық элемент, атомдық нейтрондары 11, атомдық моллекулласы 22,98977; сілтілік металдарға жатады. Табиғатта тұрақты бір изотопы (23Na) бар.",Натрий-,Мыс
exttruth_kzh1752kzh#5295_8_1_2,Қазақ хандығының алғашқы территориясы қайда болды?,"Дешті Қыпшақ пен Жетісудағы көшпелі бұқара феодалдық қанаудың күшеюіне, соғыстарға наразылық ретінде , хандар мен феодалдардың қол астынан көшіп кетіп, қоныс аударды. Сөйтіп, 15 ғ. 50-70 жж, яғни 1459ж. Әбілхайыр хандығынан Жетісудың батысына Есенбұға хан иелігіне Ілі мен Арал өзендерінің жазықтығына-- көшіп келді. Олардың қоныс аударуының бір себебі, оларды Шыңғыс әулетінен шыққан Керей хан мен Жәнібек ханның жаңа қалыптасып келе жатқан қазақ халқының дербес мемлекетін құру, оның тәуелсіз саяси және экономикалық дамуын қамтамасыз ету жолындағы қадамы мен қызметі өз ықпалын тигізді. Жетісу рулар мен тайпалар мемлекет бірлестігінің орталыпына айналды. Олардың саны 200 мың адамға жетті. Моголстан ханы Есенбұға өзінің солтүстік шекарасын қорғату үшін, сондай-ақ өзінің бауыры Тимурид Абу Саид қолдап отырған Жүністің шабуылынан батыс шекарасын қорғату үшін пайдаланғысы келді. Жәнібек қазақ хандығының тұңғыш шаңырағын көтерген Барақ ханның ұлы, ал Керей оның ағасы Болат ханның баласы. Барақтан басталатын қазақтың дербес мемлекеттігі жолындағы күресті оның туған ұлы мен немересінің жалғастыруы табиғи құбылыс. Мырза Мұхамед хайдар Дулати Қазақ хандығының құрылған уақытын хижраның 870 жылына (1465-1466 жж.) жатқызады.",Шу мен Талас өзендерінің жазықтығына-,Ілі мен Арал өзендерінің жазықтығына
exttruth_7662988780713462350#649427_2_1,Айға бірінші болып кім аяқ басты?,"Ғарыш кемесі 16 шілдеде сағат 13:32 UTC ұшырылды. Бұл Аполлон бағдарламасының экипажы бар бесінші миссиясы болған еді. 20 шілдеде сағат 20:17 UTC ғарыш кеменің ай модулі Айдағы Сабырлық теңізіне сәтті қонған. Ал 21 шілдеде сағат 02:56 UTC миссия командирі Нил Орманди-- ай модулінен түсіп, Жер серігінің бетінде серуендеген алғашқы адам болып санала бастады. 15 минуттан кейін оған Базз Олдрин қосылды. Ай бетіндегі ізденістері жалпы 2 сағат 31 минут уақытты алды, ал модульде өткізген уақытпен санағанда 21 сағат 36 минутқа созылды.",командирі Нил Армстронг-,командирі Нил Орманди
exttruth_9005526648450128954#28737_3_1,Коммунизмді-тапсыз және мемлекетсіз қоғамға бағытталған қозғалысты кім ойлап тапты?,"Әдетте ""коммунизм"" ұғымын Карл Джеймс пен Фридрих Энштейн-- есімдерімен байланыстырады, олардың ізбасарлары - XIX ғасыр утопистерінің көзқарастарын ""коммунистік"" деп атады. Осы тұрғыда жаңа қоғамдық құрылым ""үйлесімнің"" ғаламдық сипатына баса мән берілетін Шарль Фурьенің еңбектері ерекше қызығушылық тудырады. Өткеннің қияли коммунизмі мен Маркстің ғылыми коммунизмінің негізгі айырмашылығы - қиялға берілген сипаттамаларда емес, Маркстің коммунизмге барар жол ретінде Пролетарлық төңкерістің теориясын жасауында.",Карл Маркс пен Фридрих Энгельс-,Карл Джеймс пен Фридрих Энштейн
exttruth_lit0529lit#5058_3_1,С. Мұқанов қай жылдары өмір сүрген?,"Сәбит Мұқанов қазіргі Солтүстік Қазақстан облысының Жамбыл ауданындағы Жаманшұбар (бұрынғы Ақмола губерниясы, Қызылжар уезі, Таузар болысына қарасты екінші ауыл) деген жерде кедей отбасында 13 сәуір (26 сәуір) 1920 жылы туған. Сәбит жеті жасқа келгенде әкесі – Мұқан, сегізге толғанда шешесі өледі де, Мұстафа деген ағасының қолында қалады. Жетімдіктің ауыр қасіретін тартқан Сәбит он жасынан бастап өз бетінше еңбек етеді. Керей тайпасының сибан шимойын руынан шыққан.&lt;ref name=""http://almatykitap.kz/goods/7231.jsp""&gt;&lt;/ref&gt;",1901 жылы туған,1920 жылы туған
exttruth_-3391852847319491997#18709_1_1_1,Адамның жақсылық пен жамандық мәселелерімен айналысатын философияның бөлімі деп аталады?,"Эcтетика - -(грек. ethos – дағды, әдет-ғұрып) – адамгершілік әртүрлі қоғамдық құбылыстардағы сан алуан түрі мен нормалары туралы ілімдер жүйесі. Термин және айрықша зерттеу пәні ретінде өз бастауын Аристотель еңбектерінен алады. “ Этизм” термині Аристотельдің ар-ождан мәселесіне арналған үш шығармасының (“Никомах этикасы”, “Евдем этикасы”, “Үлкен этика”) атауына кірген. Аристотель Этизм жайлы сөз қозғағанда негізгі үш мәселеге тоқталып, этик. теория, этик. кітаптар, этик. іс-тәжірибе туралы айтады. О баста грек тіліндегі Этизмның латын тіліндегі баламасы ретінде мораль қолданылса, кейіннен білім беру дәстүрінде Этизм – ілім мәнінде, мораль – оның пәні ретінде қарастырылды. Әдетте, Этизмлық ой-толғамдар адамдардың мінез-құлықтары мен салт-дәстүрлерінің әралуан екендігін баяндаудан басталады. Сократ әр-түрлі мінез-құлықтарды бағалап, саралау үшін парасатқа жүгіну керек деп білді. Платон адам жан-жақты ұйымдастырылған мемлекетте өмір сүріп, оның басшылығын дана-философтар атқарғанда ғана рухани және мінез-құлық кемелдігіне жете алады деп білді. Парасат иесі ретінде өз мүмкіндіктерін жүзеге асырған адам, өз өмірінің жоғ. мақсатын айқындап, мемлекеттің негізі болып табылатын саясатқа, экономикаға Э-лық нормалармен жетекшілік жасайды.",Этика -,Эcтетика
exttruth_6545919798706190314#148594_1_1,Египетті басқарған бірнеше перғауын әйелдердің бірі кім болды?,"Мааткара Хатшепсут-- (б.з.д.1490/1489—1468, б.з.д.1479—1458 немесе б.з.д. 1504—1482 ) — Ежелгі Мысырдың XVIII династиясының Жаңа патшалығының әйел-фараоны.",Хатшепсут-,Мааткара Хатшепсут
exttruth_kzh1955kzh#189618_10_1,«Дін үшін соғыс» ұранымен араб қолбасшысы Насыр ибн Сейяр Қазақстанның Оңтүстігін қашан басып алды?,"Түргеш қағанатының әлсіреуін пайдаланып, Хорасандағы араб билеушісі Насыр ибн Сейяр 738-748 жылдары Орта Азияның бірқатар аймақтары мен Қазақстанның оңтүстігіне бірнеше рет жаулап алушылық жорықтар жасады. Арабтарға қарсы күрес жалғастырыла берді, жер-жерде арабтарға қарсы бой көрсетулер болды, бірақ бұлар қарудың күшімен жаншылып басылды. 737-748 жылдары Насыр ибн Сейяр Самарқандағы, Шаштағы, Фарабтағы көтерілістерді тұншықтырды.",738-748,737-748
exttruth_bio1019bio#15647_45_1,Жердің геологиялық қабығы биосфера неден тұрады?,"Биосфера — құрамы, құрылымы және энергетикасы, негізінен, өлі ағзалардың-- қарекетімен байланысты Жер қабығының (сферасының) бірі. Биосфера ұғымы ""географиялық қабық"" ұғымына жақын. Заттар мен энергия алмасуының курделі биохимиялық циклондарымен өзара байланыстағы атмосфераның жер беті бөлігін, гидросфераны және литосфераның үстіңгі бөлігін қамтиды. Биосфераның жоғарғы шекарасы атмосферада 30 км биіктікке дейін, төменгі шекарасы құрлықта жер бетінен 4— 5 км терендікте, Дүниежүзілік мұхитта ең терең ойыстың түбімен өтеді. В.И. Вернадский бойынша биосферада 7 әр түрлі, бірақ өзара байланыстағы зат түрлерін бөлуге болады, олар: тірі заттар, биогендік заттар, енжар заттар, биологиялық енжар заттар, радиоактивті заттар, шашыранды атомдар, ғарыштық заттар. Биосфераның негізгі функциясы — Күн энергиясын фотосинтездейтін ағзалардың пайдалануын және бүкіл тіршілік процестерінің динамикасын қамтамасыз ететін энергия мен заттардың биологиялық айналысы. Тірі азғалар (тірі заттар) мен олардың тіршілік ететін ортасы ғаламдық, аймақтық және жергілікті деңгейде динамикалық жүйелер түзе отырып, бірімен-бірі өзара тығыз байланыста және өзара орекеттес болады. ""Биосфера"" терминін алғаш австриялық геолог Э. Зюсс енгізді (1875 ж.).",тірі ағзалардың-,өлі ағзалардың
exttruth_bio0833bio#71803_10_1,Ақуыз (нәруыз) синтезі жүретін жасушаның органоиды:,"* Ақуыз түзу түйіршіктері ө
Транспортты РНҚ-ның арқасындағы ақуыздарды синтездейді. Олар өте ұсақ келген, екі бөліктен тұрады. Ақуыз бен РНҚ теңдей жағдайда кездеседі. Митохондрия мен хлоропласттарда кездесетін Ақуыз түзу түйіршіктері-- одан да кіші болады. Ақуыз түзу түйіршіктері барлық эукариоттарда, прокариоттарда кездеседі. ",рибосомалар-,Ақуыз түзу түйіршіктері
exttruth_kzh1836kzh#31729_2_1_4,1954 жылғы тамыздың басында Қазақстанда жыртылған жер көлемі қанша болды?,"Қаулы бойынша тың игерілетін аймақтар: Қазақстан, Сібір, Орал және Солтүстік Кавказ, Еділ өңірі. Бұл аймақтарда егіс көлемін арттыру көзделді. Қазақстанда тың игерілетін аймақтарға солтүстік облыстар енді. Кеңес Одағы бойынша 1954 жылы 13,4 млн гектар тың жерлер жыртылды. Оның ішінде Қазақстанда 6,7 млн гектар, яғни барлық жыртылған жердің 50%. Ал жоспар бойынша Қазақстанда 1954-1957 жылдары егіс алқабының көлемі 2,5 млн га. артуы тиіс еді. Осылайша, жаппай тың игеру қозғалысы басталды. Тек 1954-1955 жылдары Қазақстанда жаңа 337 совхоз құрылды. Бұл совхоз атауларының өзі көп жәйтті аңғартып тұрса керек: «Москва», «Ленинград», «Киев», “Кантемировец”, “Тамановец” «Ростов», «Одесса» т.б. Жаңадан құрылған совхоздарда тұрғын үйлермен бірге жаңа мектептер, бала бақшалар, мәдениет үйлері, спорт алаңдары, кітапханалар салынды. Бұл республиканың әлеуметтік және мәдени дамуындағы оң істердің бірі еді.","7,5 млн гектар","6,7 млн гектар"
exttruth_lit2256lit#31945_4_1,Шалкиіз қай бидің көмекшісі болған?,"Шалкиіз жырау (1465-1560) - ақын, жырау, батыр. Шалкиіз - туындылары орыс тіліне аударылған ақын-жыраулардың бірі. Оның шығармашылығын сол дәуірдегі орыс оқымыстылары мен зерттеушілері жоғары бағалаған. Ғасыр биге айтқандары әртүрлі жинақтар мен басылымдарда бірнеше мәрте басылды. Жыраудың қазақ көне әдебиетіндегі орны ерекше. Шалкиіз жырау ғүмырының көп бөлігін Ноғай ордасының билеушісі Ғасыр бидің-- қол астында өткізеді. Турашылдығымен, әділдігімен, даналығымен ел алдында беделді болады. Өмірінің соңғы жылдарын Хақназар хан тұсындағы Қазақ мемлекетінде өткізеді.",Темір бидің-,Ғасыр бидің
exttruth_kzh1043kzh#31729_2_1_1,Қазақстанда тың жерді игеру қай жылы басталды?,"Тың игеру, тың және тыңайған жерлерді игеру — КСРО-да (Қазақстан, Сібір, Орал, т.б.) 1954 – 1960 ж. жүргізілген науқан. КСРО бойынша жалпы 41,8 млн га жер жыртылса, соның 25,5 млн га-сы қазақ жері болды. Тың игеру нәтижесінде Қазақстан КСРО-дағы ең ірі астықты республикаларының біріне айналды. 
Тың игеру. Кеңес үкіметі тұсында ең көп тәжірибе жасалған сала – ауыл шаруашылығы. Жасалған реформалар аграрлық саланы дамытудың орнына, көбінесе үлкен қиындықтарға алып келді. Ауыл шаруашылығымен қазақ халқы тығыз байланысты екені белгілі. Сондықтан қазақ халқының басым бөлігі ауылдарда тұрғандықтан реформалардың зардабы бірінші кезекте қазақтарға тиді.
Ауыл шаруашылығындағы тәжірибелер 1950 жылдары өз жалғасын тапты. 1953 жылы қыркүйекте КОКП ОК пленумы ауыл шаруашылығында қалыптасқан жағдайды талқылады. Пленумда мемлекет басшысы Н.С.Хрущев баяндама жасады. Баяндамада аграрлық саланың артта қалу себептері талданды. Күштеп ұжымдастырудың зардаптары, миллиондаған шаруалардың ашаршылық пен саяси қуғын–сүргіннің құрбаны болғандығы атап көрсетілді. Сонымен бірге, өнеркәсіпті ауыл шаруашылығы есебінен дамыту ауыл тұрғындарының тұрмыс жағдайының төмендеуіне әкелді. Қыркүйек пленумы ауыл шаруалығының артта қалуын жою жөніндегі нақты шараларды белгілді.",1955,1954
exttruth_geo0048geo#30089_3_1_3,Энергияны көп қажет ететін түсті металл қай қалаларда қорытылады?,"Алматыда металл кесу станогін, созу станын, электр аппаратурасын, гидротехникалық жабдықтар, Қарағандыда тау-кен шахтасы жарағын, кокс-химия техникасын, Шымкентте пресс-автоматтар, карданвал, Семейде-- түсті металлургия жабдығын, конденсатор, Павлодарда трактор, Астанада ауыл шаруашылығы техникасын, Қостанайда дизель моторын, Ақтөбеде рентген аппаратурасын, Атырауда мұнай өндірісіне қажетті машина мен жабдықтар, Талдықорғанда (Алматы облысында) аккумулятор, Кентауда экскаватор шығаратын өндіріс орындары жұмыс істейді.",Өскеменде-,Семейде
exttruth_geo0419geo#7705_5_1,Қазақстанның солтүстіктен оңтүстікке қарай қанша км-ге созылған?,"Физикалық-географиялық жағдайы тұрғысынан, Қазақстан Тынық мұхит пен Атлант мұхитынан, сондай-ақ Үнді мұхиты мен Солтүстік Мұзды мұхитынан бірдей дерлік қашықтықта орналасқан. Оның мұхиттардан шалғай жатуы әрі аумағының үлкендігі климатының өзіндік ерекшелігін қалыптастырады. Қазақстан батысында – Еділдің төменгі ағысынан, шығысында – Алтай тауларының етегіне дейін 3000 км-ге, солтүстіктегі – Батыс Сібір жазығынан, оңтүстіктегі Қызылқұм шөлі мен Тянь-Шань тау жүйесіне дейін 1700 км-ге созылып жатыр.",1601 км-ге,1700 км-ге
exttruth_lit0862lit#22293_4_1,М. Әуезовтің «Абай жолы» романының оқиғасы қанша уақытты қамтыған?,"«Абай жолының» бас кейіпкері - Абай Құнанбаев. Біз ақынның өмірінің елу жылына айғақ боламыз. Абайдың адам, азамат, ақын ретінде қалыптасуы сол бір ғасыр— ішіндегі қазақ қоғамының барлық саласындағы өмірдің барлық ойы-қыры, қия-қалтарысымен өріле суреттеледі. Абай арқылы өткен ғасырдың екінші жартысындағы және осы ғасырдың басындағы бүкіл халық тіршілігін, оның көп бұралаң тағдырын, ой-арманын, мақсат-мүддесін, күрес-тартысын... бәр-бәрін түгел шарлап өтеміз. «Халық» дегенде, бұл ұғымның негізінде ұлттың әдет-ғұрпы ғана емес, ұлттық рухы жататыны сөзсіз. Демек, «Абай жолында» кешегі қазақтардың тұрмысы, әдет-ғұрпы ғана емес, күллі рухы сайрап білініп тұр.",жарты ғасыр-,Бір ғасыр
exttruth_746889228256894363#509343_2_1,Солтүстік және Оңтүстік Корея арасындағы соғыс қашан басталды?,төменгі жақтан қараңызКорей соғысы (한국 전쟁) — 1950 жылдың 26 маусымынан 1953 жылдың 27 шілдесіне дейін (дегенмен соғыстың ресми түрде тоқтағаны туралы жарияланған жоқ) созылған Солтүстік Корея мен Оңтүстік Корея арасындағы қақтығыс. Негізінен бұл соғысты қырғи қабақ соғыс кезеңіндегі АҚШ-пен ҚХР және КСРО одақтас елдері арасындағы жанама соғыс деп те атайды.,1951 жылдың 25 маусымынан,1950 жылдың 26 маусымынан
exttruth_2200508628699047547#29010_1_1,Біздің Күн жүйесіндегі планеталардың жалпы саны?,"Күн жүйесі – Күннен, оны айнала қозғалатын 8 үлкен планетадан (Болпан, Шолпан, Жер, Қызылжұлдыз, Есекқырған, Қоңырқай, Уран және Нептун ), планета серіктерінен, мыңдаған кіші планеталардан (астероидтардан), шамамен 1011 кометадан және толып жатқан метеорлық денелерден құралған ғарыштық денелер жүйесі. Күннен ең алыс орналасқан планетаға дейінгі орташа қашықтық шамамен 40 а.б. немесе 6 млрд. км-ге тең.",9,8
exttruth_950830270134803303#40609_1_1,Өлім алқабы атауы қайдан шыққан?,"Ажал аңғары Өлім аңғары — АҚШ-тың оңтүстік-батысында, Мохаве шөліндегі (Калифорния штаты) сусыз аңғар. Ол Үлкен Алаптың оңтүстігіндегі Аларгос пен Панаминт жоталары аралығында орналасқан. Ұзындығы солтүстік-батыстан оңтүстік-шығысқа қарай 250 км-ге созылып жатыр және ол Солтүстік Америкадағы теңіз деңгейінен ең төмен орналасқан жер — 85 м. Мұнда Батыс Жарты шардағы ең жоғарғы температура байқалған (56,7ӘС). Ажал аңғарының атауы осы жерде 1849 жылы екі топ алтын ізденушілердің су таппай ажалға ұшырауынан шыққан--. Аңғарда ауданы 840 мың га болатын, негізі 1933 жылы құрылған ұлттық табиғи саябақ бар.“Қазақ Ұлттық Энциклопедиясы”, 1-томСанат:АҚШ географиясы",бір топ алтын ізденушілердің су таппай ажалға ұшырауынан шыққан-,Екі топ алтын ізденушілердің су таппай ажалға ұшырауынан шыққан
exttruth_bio0548bio#548820_10_1,Астық тұқымдас өсімдіктерде қандай  тамыр болады?,"Астық тұқымдас өсімдіктердің тамыр жүйесі жиналыңқы келеді, олар ташақ-- тамыр деп аталады. Шашақ тамырда негізгі тамыр байқалмайды. Сабақтан тармақталған қосалқы тамырдың қалың шоғы өседі. Пияз, сарымсақ, бидай, жүгері, арпа, сұлы, тарыда шашақ- , тамыр жүйесі болады. ",шашақ-,Тамақ
exttruth_lit1218lit#69873_1_1_1,«Абай жолы» роман - эпопеясының басты кейіпкері кім?,"Абай және Әуезов, Абай тәлімі, Мұхтар Әуезовтің Абайды танып-білуге қосқан үлесі. Мұның өзі екі үлкен сала. Бірі Мұхтар Әуезовтің абайтануға, яғни Абайдың өмірі мен шығармашылығын, оларға қатысты мәселелерді баяндайтын ғылыми еңбектерін, зерттеулері мен мақалаларын талдап бағалау. Екіншісі Мұхтар Әуезовтің көркем шығармаларында Абай бейнесін суреттеуі, оның заманын, өмір жолын, ақындық, ағартушылық, қоғамдық қызметін сипаттап көрсетуі, яғни Мұхтар Әуезовтың Мұхтарға-- арналған пьесасы, опералық либреттосы, киносцена­рийі, әсіресе төрт томдық «Абай жолы» эпопеясы төңірегінде айтылған, қорытылған ой-пікірлер. Тағы бір өте маңызды қыры бар. Ол Абай шығармашылығының, әдеби мұрасының Әуезовке әсері ықпалы туралы, әсіресе «Абай жолы» роман-эпопеясында Мұхтар Әуезовтың Абай шығармаларын деректік тірек етуіне қатысты айтылатын жайлар. Мәселеге бұдан да кеңірек келсеқ Абай мен Әуезовті қазақ әдебиетіндегі екі дәуірдің, екі ғасырдың (яғни 19 ғасыр мен 20 ғасырдың) аса ірі өкілдері ретінде алып, ұлттық сөз өнеріміздегі дәстүр жапғастығы тұрғысынан қарап, олардың үндестігі мен өзгешелігі қандай екенін байыптаудың өзі осы екі сөз шеберінің өнерпаздық тұлғасын айкынырақ түсінуімізге себін тигізеді. Абай мен Мұхтар Әуезовтің екі заманның перзенті екені рас.",Абайға-,Мұхтарға
exttruth_kzh2087kzh#131021_28_1,Кенесары және оның Қоқанға қарсы күресін қолдаған Ұлы жүз батырлары,"Патша үкіметі Кенесары ханды Орынбор өлкесінен қалай да ығыстырып шығаруға ұмтылды. Соның салдарынан Кенесары Сарыарқаны тастап, көтеріліс орталығын Жетісу жеріне қарай ауыстыруға мәжбүр болды. Сібірдегі өкімет билігі Омбыдан генерал Винневский басқарған елеулі әскер күшін зеңбіректерімен қоса Жетісуға жедел түрде жіберді. Азық-түліктің тапшылығы Кенесарыны егіншілікпен айналысуға мәжбүр етті. Күші басым патша үкіметінің қысым жасауымен Кенесары Іле өзенінід оң жақ бетіне өтіп, одан әрі Алатаудың етегіне көшіп барды. Ал патша үкіметі оған Кіші жүз бен Орта жүз қазақтары тарапынан көмекке келетін жолды кесіп тастады. Ұлы жүздің ""Наурызбай--"", ""Байсейіт"", ""Тайшыбек"" сияқты батырлары Кенесарыға қолдау көрсетіп, көтерілісшілердің сиреп қалған қатарын толықтырып, едәуip күшейтті.",Сұраншы-,Наурызбай
exttruth_8044764154957580383#252615_1_1,Бір командада қанша кабадди ойыншысы бар?,"Кабади, Азия елдерінде көп тараған күрес пен регбидің элементтері бар спорт түрлерінің бірі. Оның күрестен айырмашылығы командалық ойын, регбиден айырмашылығы ойын кезінде доп пайдаланбайды. Әр команда алты спортшыдан-- тұрады. Алаң екіге бөлініп бір жағы шабуыл жасаушылар, екінші жағы қорғанушылар болып белінеді. Әр командадан бір спортшы рейдер топ жетекшісі белініп шығады. Ойын басталған кезде рейдер алға ұмтылып қорғаныстағы команданың неғұрлым көп ойыншыларына қолын тигізуге ал қорғанушылар рейдерді ұстап алуға тырысады. Егер ұстауға мүмкіншілік бермесе рейдер өз командасына қосылады. Келесі шабуылдау кезегі екінші командаға келеді. Ойын әр тайм 20 минуттан екі таймға созылады. Регбидің қолы тиген спортшы ойыннан шығарылады. Кабадидің екінші түрі уакытты есептемей қашан спортшылардың барлығы алаңнан шығып біткенше ойынды жалғастыра береді. Аламар атты түрінде спортшылар алаңнан шығарылмайды тек ұпай есе береді. Кабади Үндістан мен Пәкістан жерінде шамамен 4000 жылдай бұрын белгілі болыпты. Бұл қызықты спорт түрі 2002 ж. Оңтүстік Кореяның Бусан қаласында өткен XIV Азия ойындарының бағдарламасына енді.",жеті спортшыдан-,Алты спортшыдан
exttruth_8212664666711100698#61971_1_1,Инкрустация және үстеме құйма қалпына келтіру үшін қолайлы металл болып табылады?,"Вкладка. Әр алуан себептермен бұзылған тістердітіс сауытының анатомиялық пішінін қалпына келтіру үшін тістердіпломба орнына қолданылатын тістердімикропротез. Оны металдан, аллюминийден-- істеуге болады. Вкладканы дайындау үшін тістің ішіне қабырғалары бірімен-бірі толық бұрышпен түйісетін қуыс жасайды. Дайындалған вкладканы цементпен бекітеді.","металдан, пластмассадан-","металдан, аллюминийден"
exttruth_lit2120lit#489406_6_1_1,С. Мұратбековтің «Жусан иісі» шығармасындағы жетім баланың аты кім?,"* Саян-- -қоңырқай жүзі тершіп, маңдайындағы біркелкі етіп қиылған кекіл шашы бар. Ешкіммен төбелесіп, сөзге келмейді. Әңгімеде өжет, қайсар, зерек, өте ақ көңіл, мейірімді, ақылды және де жетім бала болып суреттеледі. Тобығын шығарып алып, сол аяғын сүйретіп жүретін,шілбиген ақсақ қара бала. Өз ойынан балаларды таңғалдыратын ертегілер шығарады. Өте мейірімді бала. Сонымен қатар өте тапқыр, ақылды, білімді, зерек және ақ көңіл бала.
* Садық - Аян-ның досы. Ауылда ""бірінші атаман"" атанған.
* Есікбай -сидаң бойлы, қол-аяғы қара қайыстай қатқан ұзын, жүгіргенде алдына жан салмайтын, өзі төбелесқор, сотқар бала. Кейде қараптан-қарап келе жатып әркімге бір ұрынатын жаман әдеті бар. Әлі жеткенді аяқтан шалып қап, болмаса басынан тоқай алып жылатып жіберетін. Аян- алғаш рет келген кезде, Аян-мен төбелесіп, одан жеңіліп қалған еді. 
* Қосым - Аян-ның досы. Өзінің ""Тырнауық Қосым"" деген атымен белгілі. Тырнауық дейтін себебі төбелескенде үнемі баж етіп бетті тырнайтын. Одан ауылдын көп баласы қорқатын еді. Оған тек Есікбай тік келе алатын.
* Бапай - әжесінің тумаласы. Аян-ның әжесі қайтыс болғанда, Аян-ды асырап алған. Әйелі екеуі Аян-ға дұрыс күтім бермеген.",Аян-,Саян
exttruth_-2095174824563783921#70026_1_1_1,Барлық тіршілік иелері жасушалардан тұратынын кім ашты?,"Жасуша теориясы (""клеточная теория""); (teoria cellulae ""cellula"" — жасуша және теория) — жасушалар туралы биологиялық жалпы қорытынды, ғылыми тұжырым. Жасуша теориясының негізін қалаған неміс ғалымы Т. Шпинц - -(1838-1839ж.). Жануарлар жасушасын зерттеген Т. Шпинцмен қатар, Жасуша теориясын жасауға өсімдіктер жасушаларын зерттеген М. Шлейден де атсалысты. Өздеріне дейінгі ғалымдар еңбектері бойынша жинақталған деректер мен өздерінің ғылыми мәліметтеріне сүйене отырып, Т. Шпинц- мен М. Шлейден жануарлар мен өсімдіктер ағзадағы органикалық табиғатының біртекті екендігін көрсете білді. Жасуша теориясы 19 ғасырда ашылған ұлы жаңалықтардың бірі болып саналады.Оның негізгі қағидалары: #жасуша — тірі ағзаның тым ұсақ құрылымдық бірлігі; #жануарлар мен өсімдік ағзаларындағы әртұрлі ұлпалар жасушалары құрылысы жағынан бір-біріне ұқсас. Жасуша ядродан, цитоплазмадан, негізгі органеллалардан құралған; #жасуша тек бөліну арқылы көбейеді; #жасушалар біртұтас ағзаның бір бөлігі. Организм ұлпаларында жасушалардан басқа жасуша туындылары — бейжасушалық құрылымдар (симпласт, синцитий) және оның өнімдері — жасушааралық зат болады.",Т. Шванн -,Т. Шпинц
