Context,Question,Answer,Question_type,Domain,Annotator1_QuestionObjective,Annotator1_ContextRelevant,Annotator1_DomainAgree,Annotator1_QuestionTypeAgree,Annotator1_AnswerCorrect,Annotator1_AnswerComplete,Annotator1_QuestionCorrect,Annotator1_QuestionComplete,Annotator2_QuestionObjective,Annotator2_ContextRelevant,Annotator2_DomainAgree,Annotator2_QuestionTypeAgree,Annotator2_AnswerCorrect,Annotator2_AnswerComplete,Annotator2_QuestionCorrect,Annotator2_QuestionComplete
"Еуразиядағы ең биік сөнбеген жанартау Ключи Шоқысы, оның биіктігі 4750 м. Камчатка түбегінде орналасқан. Камчаткада әйгілі Гейзерлер аңғары орналасқан. Адамдар Камчатка мен Исландиядағы гейзер суын үйлерді жылытуға пайдаланады.",Еуразиядағы ең биік сөнбеген жанартау? ,Ключи Шоқысы,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Солтүстік Американың ең биік нүктесі Кордильер тауының солтүстігінде орналасқан Мак-Кинли шыңы, оның биіктігі 6193 м. Кордильер испан тілінен (Кордильера) аударғанда тау жотасы, тау тізбегі деген мағына береді.",Солтүстік Американың ең биік нүктесі бұл?,Кордильер тауының солтүстігінде орналасқан Мак-Кинли шыңы,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Атлант мұхиты алабының басты өзені – Миссисипи, Солтүстік Америкадағы ең суы мол өзен болып саналады. Миссисипи атауы үндістер тілінде су атасы деген мағына береді. Миссисипи өзені ұзындығы жөнінен Ніл өзені мен Амазонкадан кейінгі үшінші орынды алады.",Миссисипи өзені ұзындығы бойынша нешінші орында?,Үшінші.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Мадагаскар аралы Африка платформасынан ертеректе ажыраған бөлігі болып саналады. Мадагаскар аралында маймылдардың ерекше тобын құрайтын шағын денелі лемурлардың 26 түрі мекендейді. Сонымен қатар Мадагаскарда пальманың желпуіш тәрізді ерекше түрі – саяхатшылар ағашы кең таралған. Лемур мен саяхатшылар ағашы – Мадагаскар аралының символы.,Мадагаскар аралының символы нелер?,Лемур мен саяхатшылар ағашы.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Аустралия – Жер шарындағы ең кіші материк. Аустралия жер көлемі жөнінен жер шарында алтыншы орынға ие. Материктің ауданы, маңындағы аралдармен қоса есептегенде, 7,6 млн шаршы шақырым.",Аустралия материгінің ауданы қандай?,"7,6 млн шаршы шақырым.",Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Дүниежүзілік мұхиттың ең терең бөлігі Мариан шұңғымасы Тынық мұхитта. Мариан шұңғымасының тереңдігі 11022 м. Мариан шұңғымасы Тынық мұхитының ең үлкен теңізі – Филиппин теңізінде орналасқан.,Дүниежүзілік мұхиттың ең терең бөлігі қай мұхитта орналасқан?,Тыңық мұхитта,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Дүниежүзілік мұхиттың ең терең бөлігі Мариан шұңғымасы Тынық мұхитта. Мариан шұңғымасының тереңдігі 11022 м. Мариан шұңғымасы Тынық мұхитының ең үлкен теңізі – Филиппин теңізінде орналасқан.,Дүниежүзілік мұхиттың ең терең бөлігі қайда орналасқан?,Филиппин теңізінде.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Антарктиданың ең биік нүктесі Винсон тауы, оның биіктігі 5140 м. Антарктидада таулардың тек ең биік шыңдары ғана жер бетіне шығып жатады, ал қалған бөлігі қалың мұз қабатының астында жатыр.",Антарктиданың ең биік нүктесі қалай аталады және оның биіктігі қанша?,"Винсон тауы, 5140 м.",Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Антарктидада табиғатының қаталдығына байланысты өсімдіктер мен жануарлар жоқ десе де болады.Антарктида жағалауында құстардың ерекше түрі пингвиндер көп таралған.Олардың 17 түрі кездеседі, ең көп тарағаны Адели деп аталатын кішкене пингвин.",Антарктидада ең көп тараған пингвин түрі қандай?,Адели.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Урбандалу латын тілінен аударғанда қалалану деген мағына береді. Урбандалу дегеніміз қалалардың өсуі мен қала халқының санының өсуі. Урбандалу деңгейі Қытайда 45% болса, Кувейтте 98%-ды құрайды.",Урбандалу бұл?,Қалалардың өсуі мен қала халқының санының өсуі.,Factoid,geo,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
Агломерация дегеніміз – ірі қаланың маңына орташа және шағын қалалардың шоғырлануы. Қазақстандағы ең ірі агломерациясы Қарағанды-Теміртау агломерациясы. Жақын орналасқан агломерациялардың бірігуінен мегаполистер қалыптасады (Алматы мегаполисі).,Агломерация деген не?,Ірі қаланың маңына орташа және шағын қалалардың шоғырлануы.,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Адамзат тарихындағы ең алғашқы су электр стансылары XIX ғасырдың соңында Германиядағы Неккар өзені мен Ұлыбританиядағы Темза өзендерінде салынған.,Ең алғашқы су электр стансылары қандай өзендерде салынған?,Германиядағы Неккар өзені мен Ұлыбританиядағы Темза өзендерінде.,Factoid,geo,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1.0
Жүгерінің Отаны – Оңтүстік Америка. Жүгері Х.Колумбтың саяхатынан кейін дүниежүзіне таралған. Әлем бойынша жүгері өндіруші жетекші ел АҚШ болып саналады. Дүниежүзі бойынша жүгерінің 50% -ы АҚШ-та өсіріледі.,Жүгерінің отаны қай жер?,Оңтүстік Америка.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Табиғи каучукты гевея ағашынан алады. Табиғи каучук өндіруден Азиядағы Тайланд, Индонезия, Малайзия көзге түседі.",Табиғи каучук алынатын ағаш?,Гевея ағашы.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Канал – адамның қолымен жасалған өзен. Халықаралық саудада маңызы зор каналдар – Панама, Суэц каналдары. Суэц каналы Египет мемлекетінің меншігі болып саналады. Каналдың тереңдігі 16,2 м, ұзындығы 161 шақырым. Канал Жерорта теңізі мен Қызыл теңізді байланыстырады.",Адамның қолымен жасалған өзенді қалай атайды?,Канал.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Украинадағы ең ірі өзен – Днепр өзені. Бұл өзеннің Украинадағы ұзындығы 981 шақырымды құрайды. Украинадағы өзендердің көпшілігі Қара теңіз бен Азов теңізі алаптарына жатады.,Украинадағы ең ірі өзен?,Днепр.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"«Теоцентризм» (грек. theos – құдай) деп аталатын бұл көзқарас бойынша бүкіл дүниені, соның ішінде адамды да құдай жаратқан. Ал құдайдың құдіретіне шек жоқ, олай болса, адамның жаратылыс сыры тылсым, құпия, оны рационалды жолмен танып-білу мүмкін емес, тек жүрекпен түйсіну керек делінді.",Теоцентризм деген не?,"Бүкіл дүниені, соның ішінде адамды да құдай жаратқан деген көзқарас.",Factoid,history,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Көшкіндер - ауырлық күші әсерінен беткей бойымен тау жыныс массасының төменге қарай жылжуы. Көшкіндер жер асты сулары немесе жауын-шашынның тау жыныстарының тепе-теңдігін бұзу нәтижесінде пайда болады.,Көшкін деген не?,Ауырлық күші әсерінен беткей бойымен тау жыныс массасының төменге қарай жылжуы.,Factoid,history,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Карталардың түптелген жиынтығы – атластар деп аталады.Атлас карталары бірін-бірі толықтыратын, форматы мен проекциялары ортақ, масштабы жағынан біртектес болып келеді. Олар: географиялық, жұлдыздар жəне жекелеген аспан денелері атластары деп бөлінеді.",Атластар қандай түрлерге бөлінеді?,"географиялық, жұлдыздар жəне жекелеген аспан денелері атластары",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Карталардың түптелген жиынтығы – атластар деп аталады.Атлас карталары бірін-бірі толықтыратын, форматы мен проекциялары ортақ, масштабы жағынан біртектес болып келеді. Олар: географиялық, жұлдыздар жəне жекелеген аспан денелері атластары деп бөлінеді.",Карталардың түптелген жиынтығы нелер?,Атластар,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Мадагаскар – Африканың ең ірі аралы. Мадагаскар аралында малагасийлер тұрады. Малагасий қара және моңғол нәсілінің араласуынан пайда болған халық.,Мадагаскар халқы қалай аталады?,Малагасийлер,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Мадагаскар – Африканың ең ірі аралы. Мадагаскар аралында малагасийлер тұрады. Малагасий қара және моңғол нәсілінің араласуынан пайда болған халық.,Африкадағы ең үлкен арал қалай аталады?,Мадагаскар,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Парсы шығанағындағы аралдық мемлекет – Бахрейн. Бахрейннің астанасы –Манама қаласы.,Парсы шығанағындағы аралдық мемлекет?,Бахрейн.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Левенгук амикроорганизмдер дүниесін зерттеуге, микробиологияның дамуына жол ашты. Микробиология (грекше «микрос» – кішкене, «логос» – ғылым) – көзге көрінбейтін, ұсақ тірі ағзалардың құрылысын, қасиеттерін, пайдасы мен зиянын зерттейтін ғылым.",Микробиология дегеніміз не?,"Көзге көрінбейтін, ұсақ тірі ағзалардың құрылысын, қасиеттерін, пайдасы мен зиянын зерттейтін ғылым.",Factoid,bio,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Бактериялардың көптеген түрі өсімдіктерді де зақымдайды, ол ауруды бактериоз дейді. Олар бау-бақша, техникалық жеміс-жидек өсімдіктерін зақымдап, зор нұқсан келтіреді.",Бактериоз дегеніміз не?,Бактериялардың көптеген түрі өсімдіктерді де зақымдайтын ауру.,Factoid,bio,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Бактериялар мақта өсімдігінде гоммоз (шайыр ағу) ауруын туғызады. Мақта тұқымында сақталған бактерия спорасы тұқыммен бірге өнеді. Мақта сабағын, жапырағын, қауашағын зақымдайды да, ірі қошқыл қоңыр түсті дақтар пайда болады.",Мақта өсімідігінде ауру туғызатын бактерия?,Гоммоз.,Factoid,bio,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2.0
Спора – саңырауқұлақтардың таралуын қамтамасыз ететін арнайы құрылымды жасуша. Споралар түзілетін орын спорангий деп аталады.,Спорангий деген не?,Споралар түзілетін орын.,Factoid,bio,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Саңырауқұлақтар мен бактериялар топырақ құрамындағы кейбір зиянды бактериялардың көбейіп кетпеуіне ықпал етеді. Өздерінен арнайы зат бөліп, зиянды бактериялардың өсуін тежейді. Оларды антибиотиктер деп атайды.",Антибиотиктер дегеніміз не?,"Өздерінен арнайы зат бөліп, зиянды бактериялардың өсуін тежейтін заттар.",Factoid,bio,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Тарғақ, орақтұмсық және реликті шағалалар (қарамойнақ) Қызыл кітап тізімінде бар. Реликті шағала Қазақстанда Алакөл көлінде ғана таралған. Қорғау мақсатында Алакөл қорығы (1998) ұйымдастырылды.",Реликті шағала Қазақстанның қай аймағында таралған?,Алакөл көлінде.,Factoid,bio,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Адам есту мүшесі арқылы қоршаған ортадан әр түрлі дыбыстарды қабылдап талдайды. Есту мүшесі дыбыстарды анықтап ажыратуға көмектеседі. Адамның есту мүшесі – құлақ. Құлақ 3 бөлімнен тұрады: сыртқы, ортаңғы және ішкі құлақ.",Құлақ қандай бөліктерден тұрады?,"Сыртқы, ортаңғы және ішкі құлақ.",Factoid,bio,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жер шарындағы теңіз деңгейінен ең төмен орналасқан жер Арабия түбегінің солтүстік батысындағы Өлі теңіз орналасқан Гхор ойысы, оның деңгейі – 403 м.",Гхор ойысы қайда орналасқан?,Арабия түбегінің солтүстік батысындағы Өлі теңізде орналасқан.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Халқының саны жөнінен Африкадағы ірі ел болып саналатын Нигерия – Батыс Африкада орналасқан. Мұнда 125 млн-нан астам адам тұрады. Астанасы – Абуджа қаласы.,Нигерияның астанасы?,Абуджа.,Factoid,geo,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2.0
"Тынық мұхит жағалауларында Жер шары халқының тең жартысы мекендейтін 50 ел орналасқан. Бұл елдердің халықтары ежелден-ақ мұхит байлығын пайдаланып келеді. Көптеген елдер мұхит суынан түрлі пайдалы қазбалар, ал мұхит қайраңдарынан мұнай өндіреді.",Тынық мұхит жағалауында неше ел мекендейді?,50,Factoid,geo,0,1,1,1,2,2,2,2,0,1,1,1,2,2,2,2.0
"Керей мен Жәнібек Қозыбасыға қазақ хандығының ұлттық туын тігіп, 1465-1466 жылдары Қазақ хандығын құрды. Хандықтың алғашқы құрылған кездегі аумағы Қозыбасы мен Шу аймағы болған.",Қазақ хандығы қай жылдары құрылды?,1465-1466 жылдары.,Factoid,history,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Молдова ТМД құрамындағы шағын елдердің бірі. Астанасы – Кишинев қаласы. Молдова Прут пен Днестр өзендерінің аралығында орналасқан.,Молдованың астанасы?,Кишинев.,Factoid,history,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2.0
"Атмосферада көмірқышқыл газының үлесінің артуын жылыжай эффектісі деп атайды. Көмірқышқыл газы жер бетінен бөлінетін жылуды өткізбейтіндіктен, климат жылынады.",Жылыжай эффектісі деген не?,Атмосферада көмірқышқыл газының үлесінің артуы.,Factoid,physics,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Қытай жер көлемі жөнінен Ресей мен Канададан кейінгі үшінші орынды алады. Қытайдың жер көлемі 9,6 млн шаршы шақырым.Қытай елінің жағалауында 5400 арал орналасқан. Қытайдағы ең ірі аралдарға Тайвань мен Хайнань аралдары жатады.",Қытай жер көлемі бойынша нешінші орында?,Үшінші.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Байкал көлінде ашық күндері 40 метрге дейінгі тереңдік көрініп жатады. Бұл көлде тіршілік ететін эпишура деп аталатын ұсақ шаяндар көлдің суын ластайтын балдырлармен қоректене отырып, көл суын тазартады.",Байкал суын тазартатын шаян?,Эпишура.,Factoid,bio,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Жер шарындағы ең лайлы өзен – Хуанхэ өзені. Хуанхэ қытай тілінен аударғанда «сары өзен» деген мағына береді. Хуанхэ өзенінің лайлы болуының басты себебі – өзен сазды жынысты аумақты жермен ағып өтеді.,Жер шарынлағы ең лайлы өзен?,Хуанхэ.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Пассаттар – атмосфералық қысым жоғары болатын тропиктік ендіктерден қысымы төмен экваторға қарай соғатын тұрақты жел. Оның орташа жылдамдығы 5-8м /с.,Пасат деген не?,Атмосфералық қысым жоғары болатын тропиктік ендіктерден қысымы төмен экваторға қарай соғатын тұрақты жел.,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Жер бедері дегеніміз – жер бетінің тегіс емес, ойлы-қырлы болып келуінің жиынтығы. Жер бедерін зерттейтін ғылым геоморфология деп аталады.",Геоморфология бұл?,Жер бедерін зерттейтін ғылым.,Factoid,geo,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2.0
Топырақ эрозиясы дегеніміз – топырақтың құнарлы қабатын кемітетін табиғи апат. Топырақ эрозиясының екі түрі бар: су эрозиясы және жел эрозиясы.,Топырақ эрозиясы деген не?,Топырақтың құнарлы қабатын кемітетін табиғи апат.,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Мелиорация дегеніміз – топырақты жақсарту. Топырақты жақсарту үшін ауыспалы егіс, қар тоқтату, ағаш отырғызу т.с.с. шаралары қолданылады.",Топырақты жақсарту шараларын не деп атаймыз?,Мелиорация.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Каспий теңізі бес мемлекеттің жағалауын шайып жатыр. Каспий теңізі жағалау сызығының 29%-ы (2340 км) Қазақстанға, 16%-ы Ресейге, 20%-ы Әзірбайжанға 21%-ы Түрікменстанға, 14%-ы Иранға тиесілі.",Каспий теңізі неше мемлекетті шайып жатыр?,5,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Италия - Рим қирандыларымен, ортағасырлық қалаларымен және әдемі жағажайларды қамтитын асханасымен, сәнімен және бай тарихымен танымал ел.",Италия несімен танымал ел?,"Рим қирандыларымен, ортағасырлық қалаларымен және әдемі жағажайларды қамтитын асханасымен, сәнімен және бай тарихымен",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Жер шарындағы ең үлкен ойпат - Амазонка ойпаты.Амазонка ойпаты Оңтүстік Америка материгіндегі Бразилия мемлекетінің аумағын алып жатыр,Жер шарындағы ең үлкен ойпат қандай?,Амазонка ойпаты,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жер бетінің аз тілімденген, тегіс немесе белесті болып келген кең алқабы жазық деп аталады.",Жазық  дегеніміз не?,"Жер бетінің аз тілімденген, тегіс немесе белесті болып келген кең алқабы жазық деп аталады.",Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Жазықтардың негізгі екі түрі болады: тегіс және төбелі.,Жазықтардың негізгі екі түрін атаңыз,Тегіс және төбелі болады,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Теңіз деңгейінен есептегенде биіктігі 200 м ден төмен жазық ойпат деп аталады,Ойпат дегеніміз не?,Теңіз деңгейінен есептегенде биіктігі 200 м ден төмен жазық,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Жер шарындағы ең биік тау шыңы Гималай тауындағы Джомолунгма шыңы. Биіктігі 8848 м. Бұл шыңды адамзат баласы 1953 жылы бағындырған.,Жер шарындағы ең биік тау шыңы калай аталады?,Джомолунгма шыңы,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жер бедері дегеніміз - жер бетінің тегіс емес, ойлы -қырлы болып келуінің жиынтығы.",Жер бедері дегеніміз не?,"Жер бетінің тегіс емес, ойлы -қырлы болып келуінің жиынтығы",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Жер қыртысының бетінде су, жел, т.б сыртқы күштердің әсерінен пайда болған жыныстар шөгінді жыныстар деп аталады.Шөгінді жыныстар органикалық, кесек, химиялық болып бөлінеді.",Шөгінді жыныстар дегеніміз не?,"Жер қыртысының бетінде су, жел, т.б сыртқы күштердің әсерінен пайда болған жыныстар",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Жердің орталық өзегін ядро алып жатыр. Ядро темір мен никельден тұрады. Ядро сыртқы және ішкі ядро болып бөлінеді. Сыртқы ядро балқыған күйде, ішкі ядро қатты шар түрінде болады.",Жердің орталық өзегін не алып жаты?,Жердің орталық өзегін ядро алып жатыр.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Жердің ең сыртқы қатты қабаты жер қыртысы (литосфера) деп аталады. Латынша «литос» тас деген мағына береді.,Жердің ең сыртқы қатты қабаты  қалай аталады?,Жер қыртысы (литосфера) деп аталады.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Джомолунгма непал тілінен аударғанда «таулардың ана құдайы» деген мағына береді.,Джомолунгма непал тілінен аударғанда қандай мағына береді?,«Таулардың ана құдайы» деген мағына береді.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жердің ішкі құрылысы мынадай қабаттардан тұрады: жер қыртысы, мантия, ядро. Жердің ішкі құрылысының ерекшеліктеріне қарай белгілі бір тереңдіктерде таралу жылдамдығының өзгеруіне байланысты Жер шарының ішкі құрылысы үш қабаттан тұрады.",Жердің ішкі құрылысы қандай қабаттардан тұрады?,"Жер қыртысы, мантия, ядро",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Литосфералық тақталардың қозғалу теориясын неміс ғалымы А.Вегенер ұсынған,Литосфералық тақталардың қозғалу теориясын қай ғалым ұсынды?,Неміс ғалымы А.Вегенер,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Жер қойнауын толтырып жатқан заттарды тау жыныстары деп атайды.,Жер қойнауын толтырып жатқан заттарды калай  атайды?,тау жыныстары деп атайды.,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Тау жыныстары шығу тегіне қарай үшке бөлінеді: шөгінді, магмалық, метаморфты.","Тау жыныстары шығу тегіне қарай үшке бөлінеді, атап айтыңыз","шөгінді, магмалық, метаморфты.",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
"Жер астындағы балқып жатқан отты заттан пайда болған тау жыныстары магмалық деп аталады. Магма грекше былғама, жердің терең қойнауында жоғары қысым мен температура жағдайында түзілетін отты қоймалжың зат.",Жер астындағы балқып жатқан отты заттан пайда болған тау жыныстары калай аталады?,магмалық деп аталады,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жер бедерінің құрылысын, жаралуын, даму тарихын және қазіргі динамикалық жағдайын зерттейтін ғылым геоморфология деп аталады",Геоморфология ғылымы дегеніміз не?,"Жер бедерінің құрылысын, жаралуын, даму тарихын және қазіргі динамикалық жағдайын зерттейтін ғылым",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Австралияның қой шаруашылығына мамандануы табиғи жайылымдардың молдығымен түсіндіріледі,Австралияның қой шаруашылығына мамандануы дегеніміз не?,табиғи жайылымдардың молдығымен түсіндіріледі,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Адам әрекеті нәтижесінде өзгеріске ұшыраған табиғат кешендері: Антрогендік,Антрогендік дегеніміз не?,Адам әрекеті нәтижесінде өзгеріске ұшыраған табиғат кешендері,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Дүние жүзінде қазіргі кезде отыз - отыз бір монархия бар,Дүние жүзінде қазіргі кездеканша монархия бар?,отыз - отыз бір,Factoid,geo,0,1,1,1,2,2,2,2,0,1,1,1,2,2,2,2.0
Еліміздегі алғашқы ұлттық парк -Баянауыл паркі,Еліміздегі алғашқы ұлттық парк калай аталады?,Баянауыл,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Жыл бойы ауа температурасы +25ºС-тан төмен түспейді, жауын-шашын мөлшері 1500-3000 мм болатын Экваторлық  климаттық белдеу",Экваторлық климаттық белдеу дегеніміз не?,"Жыл бойы ауа температурасы +25ºС-тан төмен түспейді, жауын-шашын мөлшері 1500-3000 мм болатын климаттық белдеу",Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Көлдердің жалпы саны жөнінен дүние жүзінде бірінші  болып Канада  мемлекеті орындады,Көлдердің жалпы саны жөнінен дүние жүзінде бірінші  болып қай мемлекет орындады?,Канада,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Көмір өндіруден Қытай мемлекетті алдыңғы орында,Көмір өндіруден қай мемлекет алдыңғы орында?,Қытай,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Голобусты  жасаған  М. Бехаим аспап,глобусты жасаған кім?,М. Бехаим,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Мұхиттың белгілі бір бөліктерін алып жатқан зор көлемді су- су массасы деп аталады,су массасы дегеніміз не?,Мұхиттың белгілі бір бөліктерін алып жатқан зор көлемді су,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Шығыс Қазақстанның ең ірі Ертіс өзені болып саналады.,Шығыс Қазақстанның ең ірі өзені?,Ертіс,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Шығыс Қазақстанның экономикасында жетекші рөл атқаратын өндіріс циклі-түсті металлургия.,Шығыс Қазақстанның экономикасында жетекші рөл атқаратын өндіріс циклға не жатады?,түсті металлургия,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Электроэнергетикасы мен түсті металлургияға қажетті машина және жабдықтар шығаратын кәсіпорындар  Өскеменде орналасқан,Өскеменде қандай кәсіпорындар орналасқан?,Электроэнергетикасы мен түсті металлургияға қажетті машина және жабдықтар шығаратын кәсіпорындар,Factoid,geo,0,1,1,1,2,2,2,2,0,1,1,1,2,2,2,2.0
Қазақстан аумағын ландшафтылық аймақтар мен морфологиялық облыстарға бөлген Л.С. Берг ғалымы,Қазақстан аумағын ландшафтылық аймақтар мен морфологиялық облыстарға бөлген ғалым кім?,Л.С. Берг,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Қазақстан Венгрия мемлекетінен  дәрі- дәрмек,  медмеханика, металлургиялық құралдар өнімдерін импорттайды",Қазақстан Венгрия мемлекетінен  қандай өнімдерін импорттайды?,"дәрі- дәрмек,  медмеханика, металлургиялық құралдар",Factoid,geo,0,1,1,1,2,2,2,2,0,1,1,1,2,2,2,2.0
Қазақстанның дала зонасының жылдық жауын-шашын мөлшері 220-310 мм құрайды?,Қазақстанның дала зонасының жылдық жауын-шашын мөлшері-?,220-310 мм,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Қазақстанда  Капсий маңы, Тұран ойпаттары бар",Қазақстанда қандай ойпаттары бар?,"Каспий маңы, Тұран",Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Қытайлықтар, жапондықтар, корейлер- монголоидық нәсілге жатады",Монголоидық нәсілге қай мемлекеттер жатады?,"Қытайлық, жапондық, корейліктер",Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Өзен суы деңгейінің көтерілуі кезінде суға толтырылатын өзен аңғары- Жайылма деп аталады,Жайылма дегеніміз не?,Өзен суы деңгейінің көтерілуі кезінде суға толтырылатын өзен аңғары,Factoid,geo,1,1,1,0,2,2,2,2,1,1,1,0,2,2,2,2.0
Бразилия – президенттік федеративті республика. Бразилияның астанасы -Бразилиа.,Бразилияның астанасы?,Бразилиа,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
География ғылымы 2 салаға бөлінеді: физикалық география және экономикалық география.,География ғылымы қанша салаға бөлінеді?,2,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Географиялық қабықтағы ең ірі табиғат кешені материк болып саналады,Географиялық қабықтағы ең ірі табиғат кешен?,Материк,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Ең арзан электр энергиясын беретін су ресурсы,Ең арзан электр энергиясын беретін  ресурсы?,Су,Factoid,geo,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
